STS_DIAG_13_ID,D,24
STS_DIAG_14_ID,D,28
STS_DIAG_15_ID,D,2C
STS_DIAG_16_ID,D,30
STS_DIAG_17_ID,D,34
STS1_DIAG_0_ID,D,38
STS1_DIAG_1_ID,D,3C
STS1_DIAG_2_ID,D,40
STS1_DIAG_3_ID,D,44
STS1_DIAG_4_ID,D,48
STS1_DIAG_5_ID,D,4C
STS1_DIAG_6_ID,D,50
STS1_DIAG_7_ID,D,54
STS1_DIAG_8_ID,D,58
STS1_DIAG_9_ID,D,5C
STS1_DIAG_10_ID,D,60
STS1_DIAG_11_ID,D,64
STS1_DIAG_12_ID,D,68
CIA_CONF_ID,E,0
FP_CONF_ID,E,4
IP_CONFIG_LO_ID,E,C
IP_CONFIG_HI_ID,E,E
STS_CONFIG_LO_ID,E,12
STS_CONFIG_HI_ID,E,16
CIA_ADJUST_ID,E,1A
PGF_DELAY_COMP_LO_ID,E,1E
PGF_DELAY_COMP_HI_ID,E,22
EVC_CTRL_ID,F,0
EVC_COUNT0_ID,F,4
EVC_COUNT1_ID,F,8
EVC_COUNT2_ID,F,C
EVC_COUNT3_ID,F,10
EVC_COUNT4_ID,F,14
EVC_COUNT5_ID,F,18
EVC_COUNT6_ID,F,1C
TEST_CTRL0_ID,F,24
EVC_COUNT7_ID,F,28
SPI_MODE_ID,F,2C
SYS_STATE_LO_ID,F,30
FCMD_STATUS_ID,F,3C
CTR_DBG_ID,F,48
SOFT_RST_ID,11,0
CLK_CTRL_ID,11,4
SEQ_CTRL_ID,11,8
PWR_UP_TIMES_TXFINESEQ_ID,11,10
LED_CTRL_ID,11,16
RX_SNIFF_ID,11,1A
BIAS_CTRL_ID,11,1F
FINT_STAT_ID,1F,0
INDIRECT_ADDR_A_ID,1F,4
ADDR_OFFSET_A_ID,1F,8
INDIRECT_ADDR_B_ID,1F,C
ADDR_OFFSET_B_ID,1F,10
